=== token stream (1011875840 tokens) ===
model snapshot at /workspace/.cache/huggingface/hub/models--unsloth--Llama-3.2-1B/snapshots/9535bd9b1d1dea6acafbdc4813b728796aeb28da
[r1] stream batch 1/30880: 16,192/500,000,000 (1,232 pos/s)
[r0] stream batch 1/30880: 16,192/500,000,000 (1,194 pos/s)
[r1] stream batch 16/30880: 259,072/500,000,000 (6,650 pos/s)
[r0] stream batch 16/30880: 259,072/500,000,000 (6,112 pos/s)
[r1] stream batch 32/30880: 518,144/500,000,000 (10,557 pos/s)
[r0] stream batch 32/30880: 518,144/500,000,000 (9,756 pos/s)
[r1] stream batch 48/30880: 777,216/500,000,000 (13,521 pos/s)
[r0] stream batch 48/30880: 777,216/500,000,000 (12,503 pos/s)
[r1] stream batch 64/30880: 1,036,288/500,000,000 (15,827 pos/s)
[r0] stream batch 64/30880: 1,036,288/500,000,000 (14,697 pos/s)
[r1] stream batch 80/30880: 1,295,360/500,000,000 (17,742 pos/s)
[r0] stream batch 80/30880: 1,295,360/500,000,000 (16,476 pos/s)
[r1] stream batch 96/30880: 1,554,432/500,000,000 (19,283 pos/s)
[r0] stream batch 96/30880: 1,554,432/500,000,000 (17,953 pos/s)
[r1] stream batch 112/30880: 1,813,504/500,000,000 (20,568 pos/s)
[r0] stream batch 112/30880: 1,813,504/500,000,000 (19,197 pos/s)
[r1] stream batch 128/30880: 2,072,576/500,000,000 (21,682 pos/s)
[r0] stream batch 128/30880: 2,072,576/500,000,000 (20,275 pos/s)
[r1] stream batch 144/30880: 2,331,648/500,000,000 (22,677 pos/s)
[r0] stream batch 144/30880: 2,331,648/500,000,000 (21,240 pos/s)
[r1] stream batch 160/30880: 2,590,720/500,000,000 (23,541 pos/s)
[r0] stream batch 160/30880: 2,590,720/500,000,000 (22,133 pos/s)
[r1] stream batch 176/30880: 2,849,792/500,000,000 (24,323 pos/s)
[r0] stream batch 176/30880: 2,849,792/500,000,000 (22,946 pos/s)
[r1] stream batch 192/30880: 3,108,864/500,000,000 (25,011 pos/s)
[r0] stream batch 192/30880: 3,108,864/500,000,000 (23,662 pos/s)
[r1] stream batch 208/30880: 3,367,936/500,000,000 (25,654 pos/s)
[r0] stream batch 208/30880: 3,367,936/500,000,000 (24,310 pos/s)
[r1] stream batch 224/30880: 3,627,008/500,000,000 (26,197 pos/s)
[r1] stream batch 240/30880: 3,886,080/500,000,000 (26,747 pos/s)
[r0] stream batch 224/30880: 3,627,008/500,000,000 (24,893 pos/s)
[r1] stream batch 256/30880: 4,145,152/500,000,000 (27,206 pos/s)
[r0] stream batch 240/30880: 3,886,080/500,000,000 (25,451 pos/s)
[r1] stream batch 272/30880: 4,404,224/500,000,000 (27,658 pos/s)
[r0] stream batch 256/30880: 4,145,152/500,000,000 (25,969 pos/s)
[r1] stream batch 288/30880: 4,663,296/500,000,000 (28,067 pos/s)
[r0] stream batch 272/30880: 4,404,224/500,000,000 (26,441 pos/s)
[r1] stream batch 304/30880: 4,922,368/500,000,000 (28,433 pos/s)
[r0] stream batch 288/30880: 4,663,296/500,000,000 (26,877 pos/s)
[r1] stream batch 320/30880: 5,181,440/500,000,000 (28,797 pos/s)
[r0] stream batch 304/30880: 4,922,368/500,000,000 (27,272 pos/s)
[r1] stream batch 336/30880: 5,440,512/500,000,000 (29,116 pos/s)
[r0] stream batch 320/30880: 5,181,440/500,000,000 (27,648 pos/s)
[r1] stream batch 352/30880: 5,699,584/500,000,000 (29,410 pos/s)
[r0] stream batch 336/30880: 5,440,512/500,000,000 (27,998 pos/s)
[r1] stream batch 368/30880: 5,958,656/500,000,000 (29,722 pos/s)
[r0] stream batch 352/30880: 5,699,584/500,000,000 (28,317 pos/s)
[r1] stream batch 384/30880: 6,217,728/500,000,000 (29,984 pos/s)
[r0] stream batch 368/30880: 5,958,656/500,000,000 (28,657 pos/s)
[r1] stream batch 400/30880: 6,476,800/500,000,000 (30,235 pos/s)
[r0] stream batch 384/30880: 6,217,728/500,000,000 (28,954 pos/s)
[r1] stream batch 416/30880: 6,735,872/500,000,000 (30,484 pos/s)
[r0] stream batch 400/30880: 6,476,800/500,000,000 (29,235 pos/s)
[r1] stream batch 432/30880: 6,994,944/500,000,000 (30,711 pos/s)
[r0] stream batch 416/30880: 6,735,872/500,000,000 (29,495 pos/s)
[r1] stream batch 448/30880: 7,254,016/500,000,000 (30,915 pos/s)
[r0] stream batch 432/30880: 6,994,944/500,000,000 (29,744 pos/s)
[r1] stream batch 464/30880: 7,513,088/500,000,000 (31,098 pos/s)
[r0] stream batch 448/30880: 7,254,016/500,000,000 (29,981 pos/s)
[r1] stream batch 480/30880: 7,772,160/500,000,000 (31,284 pos/s)
[r0] stream batch 464/30880: 7,513,088/500,000,000 (30,178 pos/s)
[r1] stream batch 496/30880: 8,031,232/500,000,000 (31,465 pos/s)
[r0] stream batch 480/30880: 7,772,160/500,000,000 (30,382 pos/s)
[r1] stream batch 512/30880: 8,290,304/500,000,000 (31,638 pos/s)
[r0] stream batch 496/30880: 8,031,232/500,000,000 (30,570 pos/s)
[r1] stream batch 528/30880: 8,549,376/500,000,000 (31,800 pos/s)
[r0] stream batch 512/30880: 8,290,304/500,000,000 (30,749 pos/s)
[r1] stream batch 544/30880: 8,808,448/500,000,000 (31,948 pos/s)
[r0] stream batch 528/30880: 8,549,376/500,000,000 (30,941 pos/s)
[r1] stream batch 560/30880: 9,067,520/500,000,000 (32,101 pos/s)
[r0] stream batch 544/30880: 8,808,448/500,000,000 (31,100 pos/s)
[r1] stream batch 576/30880: 9,326,592/500,000,000 (32,252 pos/s)
[r0] stream batch 560/30880: 9,067,520/500,000,000 (31,270 pos/s)
[r1] stream batch 592/30880: 9,585,664/500,000,000 (32,395 pos/s)
[r0] stream batch 576/30880: 9,326,592/500,000,000 (31,435 pos/s)
[r1] stream batch 608/30880: 9,844,736/500,000,000 (32,539 pos/s)
[r0] stream batch 592/30880: 9,585,664/500,000,000 (31,586 pos/s)
[r1] stream batch 624/30880: 10,103,808/500,000,000 (32,669 pos/s)
[r0] stream batch 608/30880: 9,844,736/500,000,000 (31,746 pos/s)
[r1] stream batch 640/30880: 10,362,880/500,000,000 (32,790 pos/s)
[r0] stream batch 624/30880: 10,103,808/500,000,000 (31,881 pos/s)
[r1] stream batch 656/30880: 10,621,952/500,000,000 (32,906 pos/s)
[r0] stream batch 640/30880: 10,362,880/500,000,000 (32,008 pos/s)
[r1] stream batch 672/30880: 10,881,024/500,000,000 (33,017 pos/s)
[r0] stream batch 656/30880: 10,621,952/500,000,000 (32,131 pos/s)
[r1] stream batch 688/30880: 11,140,096/500,000,000 (33,129 pos/s)
[r0] stream batch 672/30880: 10,881,024/500,000,000 (32,249 pos/s)
[r1] stream batch 704/30880: 11,399,168/500,000,000 (33,250 pos/s)
[r0] stream batch 688/30880: 11,140,096/500,000,000 (32,372 pos/s)
[r1] stream batch 720/30880: 11,658,240/500,000,000 (33,350 pos/s)
[r0] stream batch 704/30880: 11,399,168/500,000,000 (32,497 pos/s)
[r1] stream batch 736/30880: 11,917,312/500,000,000 (33,447 pos/s)
[r0] stream batch 720/30880: 11,658,240/500,000,000 (32,600 pos/s)
[r1] stream batch 752/30880: 12,176,384/500,000,000 (33,547 pos/s)
[r0] stream batch 736/30880: 11,917,312/500,000,000 (32,706 pos/s)
[r1] stream batch 768/30880: 12,435,456/500,000,000 (33,635 pos/s)
[r0] stream batch 752/30880: 12,176,384/500,000,000 (32,808 pos/s)
[r1] stream batch 784/30880: 12,694,528/500,000,000 (33,718 pos/s)
[r0] stream batch 768/30880: 12,435,456/500,000,000 (32,899 pos/s)
[r1] stream batch 800/30880: 12,953,600/500,000,000 (33,807 pos/s)
[r0] stream batch 784/30880: 12,694,528/500,000,000 (32,999 pos/s)
[r1] stream batch 816/30880: 13,212,672/500,000,000 (33,885 pos/s)
[r0] stream batch 800/30880: 12,953,600/500,000,000 (33,099 pos/s)
[r1] stream batch 832/30880: 13,471,744/500,000,000 (33,959 pos/s)
[r0] stream batch 816/30880: 13,212,672/500,000,000 (33,191 pos/s)
[r1] stream batch 848/30880: 13,730,816/500,000,000 (34,031 pos/s)
[r0] stream batch 832/30880: 13,471,744/500,000,000 (33,278 pos/s)
[r1] stream batch 864/30880: 13,989,888/500,000,000 (34,095 pos/s)
[r0] stream batch 848/30880: 13,730,816/500,000,000 (33,358 pos/s)
[r1] stream batch 880/30880: 14,248,960/500,000,000 (34,173 pos/s)
[r0] stream batch 864/30880: 13,989,888/500,000,000 (33,435 pos/s)
[r1] stream batch 896/30880: 14,508,032/500,000,000 (34,251 pos/s)
[r0] stream batch 880/30880: 14,248,960/500,000,000 (33,515 pos/s)
[r1] stream batch 912/30880: 14,767,104/500,000,000 (34,323 pos/s)
[r0] stream batch 896/30880: 14,508,032/500,000,000 (33,597 pos/s)
[r1] stream batch 928/30880: 15,026,176/500,000,000 (34,416 pos/s)
[r0] stream batch 912/30880: 14,767,104/500,000,000 (33,674 pos/s)
[r1] stream batch 944/30880: 15,285,248/500,000,000 (34,476 pos/s)
[r0] stream batch 928/30880: 15,026,176/500,000,000 (33,773 pos/s)
[r1] stream batch 960/30880: 15,544,320/500,000,000 (34,543 pos/s)
[r0] stream batch 944/30880: 15,285,248/500,000,000 (33,837 pos/s)
[r1] stream batch 976/30880: 15,803,392/500,000,000 (34,605 pos/s)
[r0] stream batch 960/30880: 15,544,320/500,000,000 (33,904 pos/s)
[r1] stream batch 992/30880: 16,062,464/500,000,000 (34,672 pos/s)
[r0] stream batch 976/30880: 15,803,392/500,000,000 (33,974 pos/s)
[r1] stream batch 1008/30880: 16,321,536/500,000,000 (34,718 pos/s)
[r0] stream batch 992/30880: 16,062,464/500,000,000 (34,044 pos/s)
[r1] stream batch 1024/30880: 16,580,608/500,000,000 (34,779 pos/s)
[r0] stream batch 1008/30880: 16,321,536/500,000,000 (34,104 pos/s)
[r1] stream batch 1040/30880: 16,839,680/500,000,000 (34,833 pos/s)
[r0] stream batch 1024/30880: 16,580,608/500,000,000 (34,165 pos/s)
[r1] stream batch 1056/30880: 17,098,752/500,000,000 (34,878 pos/s)
[r0] stream batch 1040/30880: 16,839,680/500,000,000 (34,234 pos/s)
[r1] stream batch 1072/30880: 17,357,824/500,000,000 (34,930 pos/s)
[r0] stream batch 1056/30880: 17,098,752/500,000,000 (34,293 pos/s)
[r1] stream batch 1088/30880: 17,616,896/500,000,000 (34,979 pos/s)
[r0] stream batch 1072/30880: 17,357,824/500,000,000 (34,351 pos/s)
[r1] stream batch 1104/30880: 17,875,968/500,000,000 (35,027 pos/s)
[r0] stream batch 1088/30880: 17,616,896/500,000,000 (34,406 pos/s)
[r1] stream batch 1120/30880: 18,135,040/500,000,000 (35,075 pos/s)
[r0] stream batch 1104/30880: 17,875,968/500,000,000 (34,460 pos/s)
[r1] stream batch 1136/30880: 18,394,112/500,000,000 (35,126 pos/s)
[r0] stream batch 1120/30880: 18,135,040/500,000,000 (34,516 pos/s)
[r1] stream batch 1152/30880: 18,653,184/500,000,000 (35,168 pos/s)
[r0] stream batch 1136/30880: 18,394,112/500,000,000 (34,566 pos/s)
[r1] stream batch 1168/30880: 18,912,256/500,000,000 (35,209 pos/s)
[r0] stream batch 1152/30880: 18,653,184/500,000,000 (34,619 pos/s)
[r1] stream batch 1184/30880: 19,171,328/500,000,000 (35,257 pos/s)
[r0] stream batch 1168/30880: 18,912,256/500,000,000 (34,657 pos/s)
[r1] stream batch 1200/30880: 19,430,400/500,000,000 (35,302 pos/s)
[r0] stream batch 1184/30880: 19,171,328/500,000,000 (34,701 pos/s)
[r1] stream batch 1216/30880: 19,689,472/500,000,000 (35,345 pos/s)
[r0] stream batch 1200/30880: 19,430,400/500,000,000 (34,746 pos/s)
[r1] stream batch 1232/30880: 19,948,544/500,000,000 (35,383 pos/s)
[r0] stream batch 1216/30880: 19,689,472/500,000,000 (34,790 pos/s)
[r1] stream batch 1248/30880: 20,207,616/500,000,000 (35,425 pos/s)
[r0] stream batch 1232/30880: 19,948,544/500,000,000 (34,832 pos/s)
[r1] stream batch 1264/30880: 20,466,688/500,000,000 (35,461 pos/s)
[r0] stream batch 1248/30880: 20,207,616/500,000,000 (34,874 pos/s)
[r1] stream batch 1280/30880: 20,725,760/500,000,000 (35,500 pos/s)
[r0] stream batch 1264/30880: 20,466,688/500,000,000 (34,912 pos/s)
[r1] stream batch 1296/30880: 20,984,832/500,000,000 (35,537 pos/s)
[r0] stream batch 1280/30880: 20,725,760/500,000,000 (34,954 pos/s)
[r1] stream batch 1312/30880: 21,243,904/500,000,000 (35,569 pos/s)
[r0] stream batch 1296/30880: 20,984,832/500,000,000 (34,995 pos/s)
[r1] stream batch 1328/30880: 21,502,976/500,000,000 (35,610 pos/s)
[r0] stream batch 1312/30880: 21,243,904/500,000,000 (35,033 pos/s)
[r1] stream batch 1344/30880: 21,762,048/500,000,000 (35,645 pos/s)
[r0] stream batch 1328/30880: 21,502,976/500,000,000 (35,077 pos/s)
[r1] stream batch 1360/30880: 22,021,120/500,000,000 (35,679 pos/s)
[r0] stream batch 1344/30880: 21,762,048/500,000,000 (35,111 pos/s)
[r1] stream batch 1376/30880: 22,280,192/500,000,000 (35,709 pos/s)
[r0] stream batch 1360/30880: 22,021,120/500,000,000 (35,148 pos/s)
[r1] stream batch 1392/30880: 22,539,264/500,000,000 (35,749 pos/s)
[r0] stream batch 1376/30880: 22,280,192/500,000,000 (35,182 pos/s)
[r1] stream batch 1408/30880: 22,798,336/500,000,000 (35,775 pos/s)
[r0] stream batch 1392/30880: 22,539,264/500,000,000 (35,224 pos/s)
[r1] stream batch 1424/30880: 23,057,408/500,000,000 (35,805 pos/s)
[r0] stream batch 1408/30880: 22,798,336/500,000,000 (35,257 pos/s)
[r1] stream batch 1440/30880: 23,316,480/500,000,000 (35,832 pos/s)
[r0] stream batch 1424/30880: 23,057,408/500,000,000 (35,291 pos/s)
[r1] stream batch 1456/30880: 23,575,552/500,000,000 (35,861 pos/s)
[r0] stream batch 1440/30880: 23,316,480/500,000,000 (35,322 pos/s)
[r1] stream batch 1472/30880: 23,834,624/500,000,000 (35,888 pos/s)
[r0] stream batch 1456/30880: 23,575,552/500,000,000 (35,352 pos/s)
[r1] stream batch 1488/30880: 24,093,696/500,000,000 (35,919 pos/s)
[r0] stream batch 1472/30880: 23,834,624/500,000,000 (35,384 pos/s)
[r1] stream batch 1504/30880: 24,352,768/500,000,000 (35,952 pos/s)
[r0] stream batch 1488/30880: 24,093,696/500,000,000 (35,422 pos/s)
[r1] stream batch 1520/30880: 24,611,840/500,000,000 (35,986 pos/s)
[r0] stream batch 1504/30880: 24,352,768/500,000,000 (35,460 pos/s)
[r1] stream batch 1536/30880: 24,870,912/500,000,000 (36,011 pos/s)
[r0] stream batch 1520/30880: 24,611,840/500,000,000 (35,491 pos/s)
[r1] stream batch 1552/30880: 25,129,984/500,000,000 (36,031 pos/s)
[r0] stream batch 1536/30880: 24,870,912/500,000,000 (35,521 pos/s)
[r1] stream batch 1568/30880: 25,389,056/500,000,000 (36,078 pos/s)
[r0] stream batch 1552/30880: 25,129,984/500,000,000 (35,554 pos/s)
[r1] stream batch 1584/30880: 25,648,128/500,000,000 (36,104 pos/s)
[r0] stream batch 1568/30880: 25,389,056/500,000,000 (35,603 pos/s)
[r1] stream batch 1600/30880: 25,907,200/500,000,000 (36,128 pos/s)
[r0] stream batch 1584/30880: 25,648,128/500,000,000 (35,628 pos/s)
[r1] stream batch 1616/30880: 26,166,272/500,000,000 (36,161 pos/s)
[r0] stream batch 1600/30880: 25,907,200/500,000,000 (35,653 pos/s)
[r1] stream batch 1632/30880: 26,425,344/500,000,000 (36,181 pos/s)
[r0] stream batch 1616/30880: 26,166,272/500,000,000 (35,687 pos/s)
[r1] stream batch 1648/30880: 26,684,416/500,000,000 (36,213 pos/s)
[r0] stream batch 1632/30880: 26,425,344/500,000,000 (35,711 pos/s)
[r1] stream batch 1664/30880: 26,943,488/500,000,000 (36,238 pos/s)
[r0] stream batch 1648/30880: 26,684,416/500,000,000 (35,736 pos/s)
[r1] stream batch 1680/30880: 27,202,560/500,000,000 (36,260 pos/s)
[r0] stream batch 1664/30880: 26,943,488/500,000,000 (35,764 pos/s)
[r1] stream batch 1696/30880: 27,461,632/500,000,000 (36,286 pos/s)
[r0] stream batch 1680/30880: 27,202,560/500,000,000 (35,788 pos/s)
[r1] stream batch 1712/30880: 27,720,704/500,000,000 (36,308 pos/s)
[r0] stream batch 1696/30880: 27,461,632/500,000,000 (35,817 pos/s)
[r1] stream batch 1728/30880: 27,979,776/500,000,000 (36,332 pos/s)
[r0] stream batch 1712/30880: 27,720,704/500,000,000 (35,840 pos/s)
[r1] stream batch 1744/30880: 28,238,848/500,000,000 (36,360 pos/s)
[r0] stream batch 1728/30880: 27,979,776/500,000,000 (35,868 pos/s)
[r1] stream batch 1760/30880: 28,497,920/500,000,000 (36,381 pos/s)
[r0] stream batch 1744/30880: 28,238,848/500,000,000 (35,896 pos/s)
[r1] stream batch 1776/30880: 28,756,992/500,000,000 (36,404 pos/s)
[r0] stream batch 1760/30880: 28,497,920/500,000,000 (35,922 pos/s)
[r1] stream batch 1792/30880: 29,016,064/500,000,000 (36,419 pos/s)
[r0] stream batch 1776/30880: 28,756,992/500,000,000 (35,948 pos/s)
[r1] stream batch 1808/30880: 29,275,136/500,000,000 (36,443 pos/s)
[r0] stream batch 1792/30880: 29,016,064/500,000,000 (35,962 pos/s)
[r1] stream batch 1824/30880: 29,534,208/500,000,000 (36,466 pos/s)
[r0] stream batch 1808/30880: 29,275,136/500,000,000 (35,985 pos/s)
[r1] stream batch 1840/30880: 29,793,280/500,000,000 (36,487 pos/s)
