[german-vpd] rank1 sweep 0/61760 (1s, 8,096 positions, 11.2k pos/s)
[german-vpd] rank1 sweep 64/61760 (12s, 526,240 positions, 43.1k pos/s)
[german-vpd] rank1 sweep 128/61760 (24s, 1,044,384 positions, 44.1k pos/s)
[german-vpd] rank1 sweep 192/61760 (35s, 1,562,528 positions, 44.5k pos/s)
[german-vpd] rank1 sweep 256/61760 (47s, 2,080,672 positions, 44.6k pos/s)
[german-vpd] rank1 sweep 320/61760 (58s, 2,598,816 positions, 44.8k pos/s)
[german-vpd] rank1 sweep 384/61760 (70s, 3,116,960 positions, 44.8k pos/s)
[german-vpd] rank1 sweep 448/61760 (81s, 3,635,104 positions, 44.9k pos/s)
[german-vpd] rank1 sweep 512/61760 (93s, 4,153,248 positions, 44.9k pos/s)
[german-vpd] rank1 sweep 576/61760 (104s, 4,671,392 positions, 44.9k pos/s)
[german-vpd] rank1 sweep 640/61760 (115s, 5,189,536 positions, 44.9k pos/s)
[german-vpd] rank1 sweep 704/61760 (127s, 5,707,680 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 768/61760 (138s, 6,225,824 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 832/61760 (150s, 6,743,968 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 896/61760 (161s, 7,262,112 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 960/61760 (173s, 7,780,256 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 1024/61760 (184s, 8,298,400 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 1088/61760 (196s, 8,816,544 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 1152/61760 (207s, 9,334,688 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 1216/61760 (219s, 9,852,832 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 1280/61760 (230s, 10,370,976 positions, 45.0k pos/s)
[german-vpd] rank1 sweep 1344/61760 (242s, 10,889,120 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1408/61760 (253s, 11,407,264 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1472/61760 (265s, 11,925,408 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1536/61760 (276s, 12,443,552 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1600/61760 (288s, 12,961,696 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1664/61760 (299s, 13,479,840 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1728/61760 (311s, 13,997,984 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1792/61760 (322s, 14,516,128 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1856/61760 (334s, 15,034,272 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1920/61760 (345s, 15,552,416 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 1984/61760 (356s, 16,070,560 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2048/61760 (368s, 16,588,704 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2112/61760 (379s, 17,106,848 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2176/61760 (391s, 17,624,992 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2240/61760 (402s, 18,143,136 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2304/61760 (414s, 18,661,280 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2368/61760 (425s, 19,179,424 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2432/61760 (437s, 19,697,568 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2496/61760 (448s, 20,215,712 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2560/61760 (460s, 20,733,856 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2624/61760 (471s, 21,252,000 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2688/61760 (483s, 21,770,144 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2752/61760 (494s, 22,288,288 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2816/61760 (506s, 22,806,432 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2880/61760 (517s, 23,324,576 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 2944/61760 (529s, 23,842,720 positions, 45.1k pos/s)
[german-vpd] rank1 sweep 3008/61760 (540s, 24,360,864 positions, 45.1k pos/s)
