[german-vpd] rank0 sweep 4480/61760 (806s, 36,278,176 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4544/61760 (818s, 36,796,320 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4608/61760 (829s, 37,314,464 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4672/61760 (841s, 37,832,608 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4736/61760 (853s, 38,350,752 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4800/61760 (864s, 38,868,896 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4864/61760 (876s, 39,387,040 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4928/61760 (887s, 39,905,184 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 4992/61760 (899s, 40,423,328 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5056/61760 (910s, 40,941,472 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5120/61760 (922s, 41,459,616 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5184/61760 (933s, 41,977,760 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5248/61760 (945s, 42,495,904 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5312/61760 (956s, 43,014,048 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5376/61760 (968s, 43,532,192 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5440/61760 (979s, 44,050,336 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5504/61760 (990s, 44,568,480 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5568/61760 (1002s, 45,086,624 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5632/61760 (1013s, 45,604,768 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5696/61760 (1025s, 46,122,912 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5760/61760 (1037s, 46,641,056 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5824/61760 (1048s, 47,159,200 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5888/61760 (1059s, 47,677,344 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 5952/61760 (1071s, 48,195,488 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6016/61760 (1082s, 48,713,632 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6080/61760 (1094s, 49,231,776 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6144/61760 (1106s, 49,749,920 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6208/61760 (1117s, 50,268,064 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6272/61760 (1129s, 50,786,208 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6336/61760 (1140s, 51,304,352 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6400/61760 (1152s, 51,822,496 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6464/61760 (1163s, 52,340,640 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6528/61760 (1175s, 52,858,784 positions, 45.0k pos/s)
[german-vpd] rank0 sweep 6592/61760 (1188s, 53,376,928 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 6656/61760 (1200s, 53,895,072 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 6720/61760 (1213s, 54,413,216 positions, 44.9k pos/s)
[german-vpd] rank0 sweep 6784/61760 (1226s, 54,931,360 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 6848/61760 (1239s, 55,449,504 positions, 44.8k pos/s)
[german-vpd] rank0 sweep 6912/61760 (1252s, 55,967,648 positions, 44.7k pos/s)
[german-vpd] rank0 sweep 6976/61760 (1265s, 56,485,792 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 7040/61760 (1278s, 57,003,936 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 7104/61760 (1290s, 57,522,080 positions, 44.6k pos/s)
[german-vpd] rank0 sweep 7168/61760 (1303s, 58,040,224 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7232/61760 (1316s, 58,558,368 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7296/61760 (1328s, 59,076,512 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7360/61760 (1339s, 59,594,656 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7424/61760 (1351s, 60,112,800 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7488/61760 (1362s, 60,630,944 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7552/61760 (1374s, 61,149,088 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7616/61760 (1385s, 61,667,232 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7680/61760 (1397s, 62,185,376 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7744/61760 (1408s, 62,703,520 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7808/61760 (1420s, 63,221,664 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7872/61760 (1431s, 63,739,808 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 7936/61760 (1443s, 64,257,952 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 8000/61760 (1454s, 64,776,096 positions, 44.5k pos/s)
